X,Y,Z,Yaw
-0.00022284062735237684,-0.004430912304708892,-0.06320057059107159,-0.007473554001809317
-0.00022299272905208084,-0.004430873883359686,-0.06320058035032974,-0.007473712472126409
-0.00022283245207628012,-0.004430872945425417,-0.0632005737428866,-0.007473712806880681
-0.0002229203567530435,-0.004430912849192569,-0.06320057362355733,-0.007473551661500468
-0.0002227601216050895,-0.004430912550027765,-0.0632005669881445,-0.0074735473990549806
-0.00022291320603902778,-0.00443087666571472,-0.06320057739202983,-0.007473725779696145
-0.00022284062735237684,-0.004430912304708892,-0.06320057059107159,-0.007473554001809317
-0.00022275269880329268,-0.0044308765100349555,-0.06320057069922111,-0.007473722065416172
-0.00022283245207628012,-0.004430872945425417,-0.0632005737428866,-0.007473712806880681
-0.0002227601216050895,-0.004430912550027765,-0.0632005669881445,-0.0074735473990549806
-0.0002226795604945743,-0.004430911452614386,-0.0632005640166137,-0.0074735546701111604
-0.00022275269880329268,-0.0044308765100349555,-0.06320057069922111,-0.007473722065416172
-0.00022267031669897033,-0.004430871124285009,-0.06320056696395265,-0.007473713519859816
-0.0002226795604945743,-0.004430911452614386,-0.0632005640166137,-0.0074735546701111604
-0.00022267031669897033,-0.004430871124285009,-0.06320056696395265,-0.007473713519859816
-0.0002225987352453794,-0.004430909531463249,-0.06320056044764294,-0.007473550680791786
-0.0002225987352453794,-0.004430909531463249,-0.06320056044764294,-0.007473550680791786
-0.00022259202842334416,-0.004430873747153015,-0.06320056437402352,-0.007473725130850906
-0.00022259202842334416,-0.004430873747153015,-0.06320056437402352,-0.007473725130850906
-0.00022251922838828833,-0.0044309086425661885,-0.063200557662519,-0.007473557766589431
-0.00022251922838828833,-0.0044309086425661885,-0.063200557662519,-0.007473557766589431
-0.00022251126786176044,-0.004430869372811053,-0.06320056084963549,-0.007473717452509255
-0.00022251126786176044,-0.004430869372811053,-0.06320056084963549,-0.007473717452509255
-0.00022243896310405326,-0.004430909219033934,-0.06320055418192094,-0.0074735519544723685
